product_id,product_name,product_price,product_type,user_type
10055633734104,【100%纯棉】卡帝乐鳄鱼t恤男纯棉短袖2022夏季青年半袖打底衫百搭潮流男装上衣体恤男装 1017白色 L/建议100-125斤,39.0,时尚服装,时尚达人
10046036664342,【两件装】花花公子短袖t恤男夏季薄款纯棉圆领大码潮流纯色打底衫男士休闲宽松体恤半袖衣服男装半截袖夏装 黑色+白色 XL,99.0,时尚服装,时尚达人
68440076627,苒祺祺孕妇装春秋季时尚新款洋气长袖外穿连衣裙宽松网红孕妇套装春装 白色上衣+浅灰裤（套装） L,125.0,时尚服装,时尚达人
10068707440597,Aseblarm灯芯绒裤子男秋季韩版潮流ins坠感港风直筒裤痞帅拖地休闲长裤男 K43黑色 M,59.0,时尚服装,时尚达人
10030832677147,吉普JEEP防晒衣男夏季冰丝薄款透气可拆连帽速干外套中青年时尚潮流遮阳防紫外线户外防晒服夹克 灰色 XL（125-140斤）,129.0,时尚服装,时尚达人
10058480605049,尘行者（CHENXINGZHE） 圆领卫衣男士秋季休闲无帽潮流套头ins学生长袖T恤打底衫 白色 XL,39.0,时尚服装,时尚达人
10041085424692,戈朵妍23年连衣裙春装新款女装蕾丝中长款时尚气质法式衬衫春秋打底裙子 黑色(8314) XL(建议115-125斤),158.0,时尚服装,时尚达人
10056865764657,遥渠 长袖T恤男秋季薄款透气上衣宽松秋衣体恤潮牌圆领衣服男装青少年帅气男士百搭长袖衣服内搭穿 纯棉T恤 白色 XL【125斤-145斤】,35.92,时尚服装,时尚达人
10026724508539,普戈斯（PUGESI）棒球服男外套春秋季胖子加大码新款韩版潮流宽松百搭ins潮 58806黑色春秋无帽款 XL,118.0,时尚服装,时尚达人
10057351526082,赫尔哈顿（ECTOR HARDEN） 2023秋款男士套头卫衣套装圆领休闲运动服装两件套休闲套装男 黑色 185/125,1688.0,时尚服装,时尚达人
